in_out,east_west,plot,tag_num,species,browse_y_n,browse_severity_high_low,height_in,height_cm,diameter_mm,Notes
out,west,5,2,RC,Y,High,22,55.88,5.58,
out,west,5,3,RC,N,n/a,22,55.88,3.88,
out,west,5,4,DF,N,n/a,15,38.1,4.99,
out,west,5,5,DF,N,n/a,22.5,57.15,10.63,
out,west,5,6,DF,N,n/a,18.5,46.99,9.1,
out,west,6,1,DF,N,n/a,12.5,31.75,8.65,
out,west,6,2,DF,N,n/a,14,35.56,10.09,
out,west,6,3,RC,N,n/a,19.5,49.53,3.82,
out,west,6,4,RC,N,n/a,18,45.72,3.57,
out,west,7,1,RC,N,n/a,11.5,29.21,2.82,
out,west,7,2,DF,N,n/a,12.5,31.75,6.25,
out,west,7,3,RC,N,n/a,14.5,36.83,3.65,
out,west,8,1,DF,N,n/a,15.5,39.37,8.61,
out,west,8,2,DF,N,n/a,11.5,29.21,6.5,
out,west,8,3,RC,N,n/a,12.5,31.75,3.55,
out,west,8,4,RC,N,n/a,16.5,41.91,2.93,
out,west,8,5,RC,Y,High,17.5,44.45,5.79,
out,west,9,1,RC,Y,High,5,12.7,4.03,
out,west,9,2,RC,Y,High,20,50.8,5.41,
out,west,9,3,RC,N,n/a,20,50.8,4.16,
out,west,9,4,DF,N,n/a,20.5,52.07,8.14,
out,west,9,5,DF,N,n/a,16,40.64,6.65,
out,west,9,6,RC,Y,Low,20.5,52.07,7.12,
out,west,10,1,RC,N,n/a,16,40.64,3.37,
out,west,10,2,DF,N,n/a,15.5,39.37,7.97,
out,west,10,3,RC,N,n/a,14,35.56,2.44,
out,west,11,1,DF,N,n/a,22,55.88,8.57,
out,west,11,2,DF,N,n/a,18,45.72,8.79,
out,west,11,3,RC,Y,High,8,20.32,3.18,
out,west,11,4,RC,Y,High,11.5,29.21,3.65,
out,west,12,1,DF,N,n/a,19.5,49.53,9.7,
out,west,12,2,RC,N,n/a,13,33.02,3.05,
out,west,12,3,RC,N,n/a,14.5,36.83,2.62,
out,west,13,1,DF,N,n/a,18,45.72,8.44,
out,west,13,2,RC,N,n/a,17,43.18,3.71,
out,west,13,3,DF,N,n/a,11.5,29.21,5.92,
out,west,14,1,RC,N,n/a,14.5,36.83,3.2,
out,west,14,2,DF,N,n/a,17.5,44.45,8.95,
out,west,14,3,DF,N,n/a,25,63.5,9.4,
out,west,14,4,RC,N,n/a,16,40.64,4.17,
out,west,14,5,RC,N,n/a,23.5,59.69,3.26,
out,west,14,6,RC,N,n/a,20.5,52.07,4.33,
out,west,14,7,DF,N,n/a,13,33.02,5.03,
out,west,15,1,RC,N,n/a,16.5,41.91,3.53,
out,west,15,2,RC,N,n/a,12,30.48,2.36,
out,west,15,3,DF,N,n/a,19.5,49.53,8.36,
out,west,15,4,RC,N,n/a,19,48.26,3.77,
out,west,15,5,DF,N,n/a,14.5,36.83,10.17,
out,west,15,6,DF,N,n/a,16.5,41.91,9.85,
out,west,16,1,RC,N,n/a,14.5,36.83,3.45,
out,west,16,2,RC,N,n/a,16,40.64,3.29,
out,west,16,3,DF,N,n/a,19,48.26,9.77,
out,west,16,4,DF,N,n/a,22,55.88,7.96,
out,west,16,5,DF,N,n/a,18.5,46.99,8.58,
out,west,16,6,RC,N,n/a,12.5,31.75,4.56,
out,west,16,7,DF,N,n/a,22.5,57.15,6.96,
in,west,1,1,RC,N,n/a,16.5,41.91,4.11,
in,west,1,2,DF,N,n/a,16.5,41.91,10.23,
in,west,1,3,DF,N,n/a,18.5,46.99,11.73,
in,west,2,1,RC,N,n/a,14,35.56,3.06,
in,west,2,2,RC,N,n/a,10,25.4,2.81,
in,west,2,3,DF,N,n/a,12,30.48,7.7,
in,west,3,1,RC,N,n/a,15.5,39.37,2.8,
in,west,3,2,DF,N,n/a,13.5,34.29,9.26,
in,west,3,3,RC,N,n/a,19.5,49.53,4.03,
in,west,4,1,DF,N,n/a,17.5,44.45,8.72,
in,west,4,2,RC,N,n/a,16,40.64,3.72,
in,west,4,3,RC,N,n/a,16,40.64,4.34,
in,west,5,1,RC,N,n/a,17.5,44.45,3.99,
in,west,5,2,DF,N,n/a,25.5,64.77,10.51,
in,west,5,3,RC,N,n/a,17.5,44.45,4.69,
in,west,6,1,DF,N,n/a,15.5,39.37,7.95,
in,west,6,2,RC,N,n/a,17,43.18,3.63,
in,west,6,3,RC,N,n/a,12,30.48,3.87,
in,west,6,4,RC,N,n/a,18,45.72,3.88,
in,west,7,1,DF,N,n/a,14.5,36.83,9.35,
in,west,7,2,RC,N,n/a,13.5,34.29,3.74,
in,west,7,3,RC,N,n/a,16,40.64,3.93,
in,west,7,4,DF,N,n/a,15.5,39.37,11.74,
in,west,8,1,RC,N,n/a,16,40.64,3.61,
in,west,8,2,DF,N,n/a,13,33.02,8.31,
in,west,8,3,RC,N,n/a,18,45.72,5.22,
in,west,9,1,DF,N,n/a,15.5,39.37,7.17,
in,west,9,2,DF,N,n/a,17.5,44.45,9.23,
in,west,9,3,RC,N,n/a,19,48.26,4.45,
in,west,9,4,RC,N,n/a,17,43.18,5.75,
in,west,10,1,DF,N,n/a,14,35.56,7.26,
in,west,10,2,RC,N,n/a,17.5,44.45,3.84,
in,west,10,3,RC,N,n/a,15.5,39.37,3.52,
in,west,10,4,DF,N,n/a,17,43.18,7.98,
in,west,11,1,RC,N,n/a,15.5,39.37,4.76,
in,west,11,2,RC,N,n/a,14,35.56,3.41,
in,west,11,3,DF,N,n/a,16,40.64,9.76,
in,west,11,4,DF,N,n/a,14.5,36.83,9.2,
in,west,11,5,DF,N,n/a,10,25.4,6.58,
